Constituency,County,URL
Kilifi North,Kilifi,https://forms.iebc.or.ke/form/formB/0030110000000/uploaded/1_0030110000000_34_B_20220812_095321.pdf
Kilifi South,Kilifi,https://forms.iebc.or.ke/form/formB/0030120000000/uploaded/1_0030120000000_34_B_20220811_205325.pdf
Magarini,Kilifi,https://forms.iebc.or.ke/form/formB/0030170000000/uploaded/1_0030170000000_34_B_20220811_230846.pdf
Malindi,Kilifi,https://forms.iebc.or.ke/form/formB/0030160000000/uploaded/1_0030160000000_34_B_20220812_062237.pdf
Rabai,Kilifi,https://forms.iebc.or.ke/form/formB/0030140000000/uploaded/1_0030140000000_34_B_20220812_065948.pdf
Gichugu,Kirinyaga,https://forms.iebc.or.ke/form/formB/0201010000000/uploaded/1_0201010000000_34_B_20220812_121826.pdf
Kirinyaga Central,Kirinyaga,https://forms.iebc.or.ke/form/formB/0201030000000/uploaded/1_0201030000000_34_B_20220812_144751.pdf
Mwea,Kirinyaga,https://forms.iebc.or.ke/form/formB/0201000000000/uploaded/1_0201000000000_34_B_20220812_121902.pdf
Ndia,Kirinyaga,https://forms.iebc.or.ke/form/formB/0201020000000/uploaded/1_0201020000000_34_B_20220811_090750.pdf
Bobasi,Kisii,https://forms.iebc.or.ke/form/formB/0452640000000/uploaded/1_0452640000000_34_B_20220812_102348.pdf
Bomachoge Borabu,Kisii,https://forms.iebc.or.ke/form/formB/0452630000000/uploaded/1_0452630000000_34_B_20220814_191941.pdf
Bomachoge Chache,Kisii,https://forms.iebc.or.ke/form/formB/0452650000000/uploaded/1_0452650000000_34_B_20220814_232957.pdf
Bonchari,Kisii,https://forms.iebc.or.ke/form/formB/0452610000000/uploaded/1_0452610000000_34_B_20220812_124141.pdf
Kitutu Chache North,Kisii,https://forms.iebc.or.ke/form/formB/0452680000000/uploaded/1_0452680000000_34_B_20220812_225827.pdf
Kitutu Chache South,Kisii,https://forms.iebc.or.ke/form/formB/0452690000000/uploaded/1_0452690000000_34_B_20220812_172141.pdf
Nyaribari Chache,Kisii,https://forms.iebc.or.ke/form/formB/0452670000000/uploaded/1_0452670000000_34_B_20220812_031208.pdf
Nyaribari Masaba,Kisii,https://forms.iebc.or.ke/form/formB/0452660000000/uploaded/1_0452660000000_34_B_20220812_131544.pdf
South Mugirango,Kisii,https://forms.iebc.or.ke/form/formB/0452620000000/uploaded/1_0452620000000_34_B_20220813_114750.pdf
Kisumu Central,Kisumu,https://forms.iebc.or.ke/form/formB/0422400000000/uploaded/1_0422400000000_34_B_20220811_175340.pdf
Kisumu East,Kisumu,https://forms.iebc.or.ke/form/formB/0422380000000/uploaded/1_0422380000000_34_B_20220812_155822.pdf
Kisumu West,Kisumu,https://forms.iebc.or.ke/form/formB/0422390000000/uploaded/1_0422390000000_34_B_20220813_145130.pdf
Muhoroni,Kisumu,https://forms.iebc.or.ke/form/formB/0422430000000/uploaded/1_0422430000000_34_B_20220811_051708.pdf
Nyakach,Kisumu,https://forms.iebc.or.ke/form/formB/0422440000000/uploaded/1_0422440000000_34_B_20220814_210438.pdf
Nyando,Kisumu,https://forms.iebc.or.ke/form/formB/0422420000000/uploaded/1_0422420000000_34_B_20220812_035027.pdf
Seme,Kisumu,https://forms.iebc.or.ke/form/formB/0422410000000/uploaded/1_0422410000000_34_B_20220811_124852.pdf
Kitui Central,Kitui,https://forms.iebc.or.ke/form/formB/0150720000000/uploaded/1_0150720000000_34_B_20220812_093131.pdf
Kitui East,Kitui,https://forms.iebc.or.ke/form/formB/0150730000000/uploaded/1_0150730000000_34_B_20220811_131547.pdf
Kitui Rural,Kitui,https://forms.iebc.or.ke/form/formB/0150710000000/uploaded/1_0150710000000_34_B_20220811_140804.pdf
Kitui South,Kitui,https://forms.iebc.or.ke/form/formB/0150740000000/uploaded/1_0150740000000_34_B_20220811_133040.pdf
Kitui West,Kitui,https://forms.iebc.or.ke/form/formB/0150700000000/uploaded/1_0150700000000_34_B_20220811_120223.pdf
Mwingi Central,Kitui,https://forms.iebc.or.ke/form/formB/0150690000000/uploaded/1_0150690000000_34_B_20220811_131750.pdf
Mwingi North,Kitui,https://forms.iebc.or.ke/form/formB/0150670000000/uploaded/1_0150670000000_34_B_20220811_134226.pdf
Mwingi West,Kitui,https://forms.iebc.or.ke/form/formB/0150680000000/uploaded/1_0150680000000_34_B_20220811_202025.pdf
Kinango,Kwale,https://forms.iebc.or.ke/form/formB/0020100000000/uploaded/1_0020100000000_34_B_20220813_102445.pdf
Lungalunga,Kwale,https://forms.iebc.or.ke/form/formB/0020080000000/uploaded/1_0020080000000_34_B_20220812_021752.pdf
Matuga,Kwale,https://forms.iebc.or.ke/form/formB/0020090000000/uploaded/1_0020090000000_34_B_20220813_064919.pdf
Msambweni,Kwale,https://forms.iebc.or.ke/form/formB/0020070000000/uploaded/1_0020070000000_34_B_20220811_225050.pdf
Laikipia East,Laikipia,https://forms.iebc.or.ke/form/formB/0311640000000/uploaded/1_0311640000000_34_B_20220813_183359.pdf
Laikipia North,Laikipia,https://forms.iebc.or.ke/form/formB/0311650000000/uploaded/1_0311650000000_34_B_20220811_141642.pdf
Laikipia West,Laikipia,https://forms.iebc.or.ke/form/formB/0311630000000/uploaded/1_0311630000000_34_B_20220812_171500.pdf
Lamu East,Lamu,https://forms.iebc.or.ke/form/formB/0050210000000/uploaded/1_0050210000000_34_B_20220810_232112.pdf
Lamu West,Lamu,https://forms.iebc.or.ke/form/formB/0050220000000/uploaded/1_0050220000000_34_B_20220812_224941.pdf
Kangundo,Machakos,https://forms.iebc.or.ke/form/formB/0160770000000/uploaded/1_0160770000000_34_B_20220811_102516.pdf
Kathiani,Machakos,https://forms.iebc.or.ke/form/formB/0160790000000/uploaded/1_0160790000000_34_B_20220811_142057.pdf
Machakos Town,Machakos,https://forms.iebc.or.ke/form/formB/0160810000000/uploaded/1_0160810000000_34_B_20220811_111910.pdf
